id_cliente,ocupacion,num_dependientes,region
1,Desempleado,4,Norte
2,Jubilado,1,Sur
3,Jubilado,3,Oeste
4,Desempleado,1,Oeste
5,Autónomo,4,Oeste
6,Empleado,0,Este
7,Empleado,2,Norte
8,Jubilado,4,Oeste
9,Desempleado,0,Norte
10,Jubilado,3,Este
11,Desempleado,1,Oeste
12,Empleado,1,Este
13,Autónomo,1,Este
14,Desempleado,3,Norte
15,Empleado,0,Oeste
16,Jubilado,3,Este
17,Desempleado,1,Oeste
18,Autónomo,4,Norte
19,Jubilado,2,Este
20,Jubilado,3,Norte
21,Empleado,3,Oeste
22,Desempleado,0,Oeste
23,Jubilado,0,Norte
24,Autónomo,3,Sur
25,Desempleado,1,Este
26,Autónomo,2,Oeste
27,Jubilado,0,Oeste
28,Autónomo,1,Este
29,Empleado,4,Norte
30,Autónomo,0,Norte
31,Desempleado,1,Norte
32,Autónomo,1,Sur
33,Autónomo,2,Sur
34,Empleado,2,Oeste
35,Autónomo,4,Norte
36,Autónomo,1,Este
37,Jubilado,1,Oeste
38,Jubilado,2,Este
39,Desempleado,0,Oeste
40,Jubilado,0,Sur
41,Jubilado,3,Oeste
42,Jubilado,2,Sur
43,Jubilado,3,Oeste
44,Empleado,2,Norte
45,Jubilado,4,Este
46,Empleado,1,Norte
47,Empleado,4,Oeste
48,Jubilado,2,Oeste
49,Autónomo,1,Oeste
50,Empleado,0,Sur
51,Autónomo,0,Este
52,Autónomo,3,Este
53,Jubilado,2,Oeste
54,Desempleado,2,Oeste
55,Jubilado,0,Sur
56,Desempleado,4,Norte
57,Desempleado,1,Norte
58,Jubilado,4,Este
59,Jubilado,4,Sur
60,Desempleado,0,Oeste
61,Jubilado,0,Este
62,Desempleado,0,Sur
63,Autónomo,3,Norte
64,Jubilado,4,Sur
65,Autónomo,2,Norte
66,Empleado,1,Sur
67,Autónomo,3,Este
68,Autónomo,2,Norte
69,Desempleado,4,Este
70,Autónomo,0,Este
71,Jubilado,4,Norte
72,Desempleado,1,Norte
73,Empleado,3,Oeste
74,Jubilado,3,Oeste
75,Empleado,1,Oeste
76,Autónomo,2,Este
77,Jubilado,2,Este
78,Jubilado,3,Oeste
79,Empleado,3,Este
80,Jubilado,0,Este
81,Jubilado,2,Norte
82,Jubilado,1,Norte
83,Autónomo,2,Este
84,Empleado,0,Oeste
85,Jubilado,3,Sur
86,Desempleado,3,Oeste
87,Desempleado,0,Sur
88,Desempleado,1,Oeste
89,Desempleado,3,Norte
90,Autónomo,4,Este
91,Jubilado,3,Este
92,Empleado,4,Norte
93,Jubilado,0,Sur
94,Autónomo,0,Sur
95,Desempleado,3,Sur
96,Autónomo,2,Norte
97,Jubilado,4,Sur
98,Empleado,1,Norte
99,Autónomo,3,Oeste
100,Empleado,1,Oeste
101,Autónomo,3,Norte
102,Empleado,2,Este
103,Empleado,2,Oeste
104,Desempleado,2,Sur
105,Empleado,2,Norte
106,Desempleado,0,Sur
107,Jubilado,0,Sur
108,Jubilado,4,Este
109,Desempleado,1,Sur
110,Desempleado,3,Este
111,Autónomo,3,Oeste
112,Autónomo,0,Norte
113,Autónomo,3,Sur
114,Jubilado,0,Norte
115,Autónomo,4,Sur
116,Empleado,1,Norte
117,Empleado,4,Sur
118,Autónomo,2,Sur
119,Empleado,2,Sur
120,Jubilado,2,Sur
121,Empleado,4,Sur
122,Jubilado,3,Sur
123,Desempleado,1,Sur
124,Desempleado,2,Sur
125,Desempleado,2,Sur
126,Desempleado,2,Norte
127,Empleado,1,Este
128,Autónomo,2,Sur
129,Empleado,1,Este
130,Jubilado,2,Sur
131,Empleado,4,Sur
132,Empleado,4,Norte
133,Jubilado,1,Oeste
134,Desempleado,4,Oeste
135,Desempleado,1,Norte
136,Desempleado,4,Este
137,Autónomo,4,Oeste
138,Jubilado,1,Norte
139,Jubilado,3,Norte
140,Empleado,4,Oeste
141,Autónomo,2,Este
142,Desempleado,3,Norte
143,Autónomo,1,Sur
144,Jubilado,3,Este
145,Jubilado,0,Este
146,Empleado,0,Oeste
147,Empleado,4,Oeste
148,Jubilado,4,Sur
149,Desempleado,2,Norte
150,Desempleado,3,Oeste
151,Autónomo,0,Oeste
152,Jubilado,4,Este
153,Jubilado,3,Oeste
154,Desempleado,4,Oeste
155,Desempleado,4,Oeste
156,Jubilado,0,Oeste
157,Empleado,0,Este
158,Jubilado,4,Sur
159,Jubilado,1,Sur
160,Desempleado,4,Norte
161,Desempleado,4,Oeste
162,Empleado,2,Este
163,Empleado,2,Norte
164,Autónomo,2,Norte
165,Jubilado,1,Sur
166,Desempleado,1,Este
167,Empleado,4,Este
168,Autónomo,2,Este
169,Autónomo,1,Sur
170,Desempleado,0,Sur
171,Desempleado,4,Sur
172,Autónomo,3,Sur
173,Empleado,4,Sur
174,Autónomo,3,Oeste
175,Jubilado,2,Oeste
176,Jubilado,3,Este
177,Desempleado,2,Norte
178,Empleado,0,Este
179,Empleado,3,Norte
180,Jubilado,4,Sur
181,Autónomo,2,Norte
182,Desempleado,4,Este
183,Autónomo,1,Este
184,Autónomo,2,Norte
185,Autónomo,3,Oeste
186,Empleado,2,Sur
187,Jubilado,4,Sur
188,Empleado,0,Este
189,Jubilado,2,Oeste
190,Desempleado,3,Norte
191,Desempleado,1,Sur
192,Autónomo,0,Oeste
193,Jubilado,1,Sur
194,Jubilado,2,Oeste
195,Jubilado,4,Oeste
196,Autónomo,4,Este
197,Autónomo,3,Sur
198,Desempleado,4,Norte
199,Empleado,0,Este
200,Jubilado,4,Este
201,Jubilado,3,Norte
202,Empleado,2,Este
203,Jubilado,2,Oeste
204,Autónomo,4,Oeste
205,Autónomo,1,Sur
206,Jubilado,2,Sur
207,Autónomo,4,Norte
208,Autónomo,3,Sur
209,Jubilado,4,Oeste
210,Desempleado,2,Norte
211,Empleado,3,Norte
212,Autónomo,4,Sur
213,Desempleado,0,Oeste
214,Autónomo,3,Norte
215,Autónomo,0,Oeste
216,Empleado,1,Oeste
217,Autónomo,3,Oeste
218,Empleado,0,Sur
219,Empleado,2,Este
220,Empleado,2,Este
221,Desempleado,1,Norte
222,Jubilado,3,Oeste
223,Desempleado,3,Sur
224,Jubilado,3,Oeste
225,Jubilado,1,Oeste
226,Empleado,3,Sur
227,Autónomo,2,Este
228,Empleado,0,Oeste
229,Autónomo,2,Oeste
230,Jubilado,2,Este
231,Empleado,0,Sur
232,Autónomo,2,Norte
233,Desempleado,1,Este
234,Autónomo,0,Norte
235,Empleado,2,Norte
236,Desempleado,4,Este
237,Autónomo,2,Oeste
238,Autónomo,1,Norte
239,Autónomo,3,Norte
240,Autónomo,2,Sur
241,Autónomo,3,Oeste
242,Desempleado,4,Norte
243,Jubilado,2,Sur
244,Desempleado,0,Oeste
245,Desempleado,3,Este
246,Desempleado,4,Este
247,Jubilado,0,Sur
248,Empleado,0,Este
249,Jubilado,0,Norte
250,Desempleado,0,Oeste
251,Autónomo,2,Norte
252,Autónomo,2,Norte
253,Desempleado,2,Este
254,Autónomo,4,Norte
255,Desempleado,4,Este
256,Autónomo,4,Oeste
257,Jubilado,1,Oeste
258,Empleado,4,Norte
259,Empleado,2,Sur
260,Jubilado,2,Este
261,Jubilado,1,Este
262,Desempleado,1,Norte
263,Desempleado,4,Este
264,Desempleado,3,Este
265,Autónomo,1,Sur
266,Desempleado,0,Sur
267,Jubilado,2,Norte
268,Empleado,0,Sur
269,Autónomo,2,Norte
270,Desempleado,2,Oeste
271,Autónomo,1,Norte
272,Autónomo,1,Oeste
273,Desempleado,0,Norte
274,Autónomo,2,Este
275,Empleado,0,Sur
276,Jubilado,3,Oeste
277,Jubilado,0,Norte
278,Empleado,4,Sur
279,Autónomo,0,Norte
280,Desempleado,4,Sur
281,Autónomo,4,Sur
282,Empleado,4,Norte
283,Autónomo,3,Oeste
284,Jubilado,0,Oeste
285,Autónomo,0,Este
286,Empleado,3,Sur
287,Jubilado,2,Este
288,Autónomo,1,Este
289,Autónomo,0,Norte
290,Jubilado,1,Norte
291,Desempleado,3,Norte
292,Jubilado,2,Sur
293,Desempleado,2,Norte
294,Empleado,2,Norte
295,Empleado,3,Sur
296,Jubilado,4,Sur
297,Jubilado,4,Oeste
298,Empleado,1,Norte
299,Desempleado,4,Norte
300,Empleado,4,Norte
301,Jubilado,2,Oeste
302,Empleado,2,Norte
303,Jubilado,1,Oeste
304,Jubilado,0,Este
305,Empleado,1,Oeste
306,Desempleado,1,Este
307,Autónomo,3,Norte
308,Empleado,3,Este
309,Autónomo,1,Oeste
310,Empleado,1,Sur
311,Autónomo,1,Este
312,Desempleado,4,Este
